HYPERPARAMS
n_neurons_hl1 = 256
n_neurons_hl2 = 256
discount = 0.99
learning_rate = 0.001
##################################################
EP	reward	steps	d_start	d_end	covered	info
9684	-46.7	100	0.0574	0.0508	0.0066	MAX STEPS 100 REACHED, DISTANCE 0.0508.
9685	-52.2	100	0.0928	0.0818	0.0110	MAX STEPS 100 REACHED, DISTANCE 0.0818.
9686	-118.8	41	0.0845	0.0317	0.0527	ACTUATOR EXCEEDED: l1 = 0.1260 @step 41
9687	-44.2	100	0.0556	0.0325	0.0232	MAX STEPS 100 REACHED, DISTANCE 0.0325.
9688	-37.5	100	0.0247	0.0216	0.0032	MAX STEPS 100 REACHED, DISTANCE 0.0216.
9689	-48.9	100	0.0445	0.0677	-0.0232	MAX STEPS 100 REACHED, DISTANCE 0.0677.
9690	-51.2	100	0.0429	0.0718	-0.0289	MAX STEPS 100 REACHED, DISTANCE 0.0718.
9691	-42.7	100	0.0676	0.0426	0.0250	MAX STEPS 100 REACHED, DISTANCE 0.0426.
9692	-51.9	100	0.0514	0.0711	-0.0198	MAX STEPS 100 REACHED, DISTANCE 0.0711.
9693	-48.0	100	0.0965	0.0537	0.0428	MAX STEPS 100 REACHED, DISTANCE 0.0537.
9694	-57.2	100	0.0859	0.1140	-0.0281	MAX STEPS 100 REACHED, DISTANCE 0.1140.
9695	-40.8	100	0.0355	0.0238	0.0117	MAX STEPS 100 REACHED, DISTANCE 0.0238.
9696	95.2	14	0.0309	0.0049	0.0260	GOAL!!! DISPLACEMENT 0.0049m @step 14
9697	-40.1	100	0.0266	0.0274	-0.0008	MAX STEPS 100 REACHED, DISTANCE 0.0274.
9698	-41.5	100	0.0225	0.0204	0.0021	MAX STEPS 100 REACHED, DISTANCE 0.0204.
9699	-37.2	100	0.0490	0.0262	0.0228	MAX STEPS 100 REACHED, DISTANCE 0.0262.
9700	-47.7	100	0.0452	0.0526	-0.0074	MAX STEPS 100 REACHED, DISTANCE 0.0526.
9701	-48.3	100	0.0903	0.0490	0.0412	MAX STEPS 100 REACHED, DISTANCE 0.0490.
9702	-53.6	100	0.1091	0.0831	0.0259	MAX STEPS 100 REACHED, DISTANCE 0.0831.
9703	-46.7	100	0.0304	0.0549	-0.0245	MAX STEPS 100 REACHED, DISTANCE 0.0549.
9704	-56.5	100	0.1060	0.0880	0.0180	MAX STEPS 100 REACHED, DISTANCE 0.0880.
9705	-51.2	100	0.0457	0.0760	-0.0302	MAX STEPS 100 REACHED, DISTANCE 0.0760.
9706	-40.4	100	0.0425	0.0357	0.0068	MAX STEPS 100 REACHED, DISTANCE 0.0357.
9707	-51.5	100	0.0530	0.0703	-0.0173	MAX STEPS 100 REACHED, DISTANCE 0.0703.
9708	-55.4	100	0.1135	0.0936	0.0199	MAX STEPS 100 REACHED, DISTANCE 0.0936.
9709	-59.0	100	0.1085	0.1222	-0.0137	MAX STEPS 100 REACHED, DISTANCE 0.1222.
9710	-42.6	100	0.0503	0.0366	0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0366.
9711	-57.9	100	0.1103	0.1115	-0.0012	MAX STEPS 100 REACHED, DISTANCE 0.1115.
9712	-52.2	100	0.0638	0.0741	-0.0102	MAX STEPS 100 REACHED, DISTANCE 0.0741.
9713	-47.7	100	0.0469	0.0593	-0.0124	MAX STEPS 100 REACHED, DISTANCE 0.0593.
9714	-54.7	100	0.1040	0.0944	0.0096	MAX STEPS 100 REACHED, DISTANCE 0.0944.
9715	-54.5	100	0.0683	0.0892	-0.0209	MAX STEPS 100 REACHED, DISTANCE 0.0892.
9716	-50.1	100	0.0815	0.0780	0.0035	MAX STEPS 100 REACHED, DISTANCE 0.0780.
9717	-41.8	100	0.0362	0.0230	0.0132	MAX STEPS 100 REACHED, DISTANCE 0.0230.
9718	94.1	18	0.0358	0.0045	0.0313	GOAL!!! DISPLACEMENT 0.0045m @step 18
9719	-50.5	100	0.0855	0.0552	0.0303	MAX STEPS 100 REACHED, DISTANCE 0.0552.
9720	-44.5	100	0.0581	0.0449	0.0132	MAX STEPS 100 REACHED, DISTANCE 0.0449.
9721	-46.0	100	0.0250	0.0483	-0.0233	MAX STEPS 100 REACHED, DISTANCE 0.0483.
9722	-52.5	100	0.0739	0.0771	-0.0032	MAX STEPS 100 REACHED, DISTANCE 0.0771.
9723	-48.6	100	0.0488	0.0513	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0513.
9724	-57.0	100	0.0983	0.1042	-0.0059	MAX STEPS 100 REACHED, DISTANCE 0.1042.
9725	-46.1	100	0.0715	0.0422	0.0293	MAX STEPS 100 REACHED, DISTANCE 0.0422.
9726	-48.2	100	0.0754	0.0355	0.0399	MAX STEPS 100 REACHED, DISTANCE 0.0355.
9727	-52.1	100	0.0686	0.0783	-0.0097	MAX STEPS 100 REACHED, DISTANCE 0.0783.
9728	-41.8	100	0.0695	0.0173	0.0522	MAX STEPS 100 REACHED, DISTANCE 0.0173.
9729	-42.4	100	0.0581	0.0379	0.0203	MAX STEPS 100 REACHED, DISTANCE 0.0379.
9730	-41.9	100	0.0683	0.0155	0.0527	MAX STEPS 100 REACHED, DISTANCE 0.0155.
9731	-54.0	100	0.0908	0.0854	0.0054	MAX STEPS 100 REACHED, DISTANCE 0.0854.
9732	-55.0	100	0.0845	0.1002	-0.0157	MAX STEPS 100 REACHED, DISTANCE 0.1002.
9733	-45.9	100	0.0677	0.0391	0.0286	MAX STEPS 100 REACHED, DISTANCE 0.0391.
9734	-48.8	100	0.0479	0.0589	-0.0110	MAX STEPS 100 REACHED, DISTANCE 0.0589.
9735	-38.0	100	0.0419	0.0243	0.0177	MAX STEPS 100 REACHED, DISTANCE 0.0243.
9736	-39.5	100	0.0515	0.0205	0.0309	MAX STEPS 100 REACHED, DISTANCE 0.0205.
9737	-38.3	100	0.0587	0.0221	0.0365	MAX STEPS 100 REACHED, DISTANCE 0.0221.
9738	-34.8	100	0.0197	0.0192	0.0005	MAX STEPS 100 REACHED, DISTANCE 0.0192.
9739	-55.5	100	0.0883	0.0920	-0.0037	MAX STEPS 100 REACHED, DISTANCE 0.0920.
9740	-46.9	100	0.0275	0.0664	-0.0389	MAX STEPS 100 REACHED, DISTANCE 0.0664.
9741	-49.8	100	0.0644	0.0682	-0.0038	MAX STEPS 100 REACHED, DISTANCE 0.0682.
9742	-42.6	100	0.0574	0.0181	0.0393	MAX STEPS 100 REACHED, DISTANCE 0.0181.
9743	-51.0	100	0.0591	0.0740	-0.0149	MAX STEPS 100 REACHED, DISTANCE 0.0740.
9744	-49.0	100	0.0915	0.0426	0.0489	MAX STEPS 100 REACHED, DISTANCE 0.0426.
9745	-44.7	100	0.0321	0.0442	-0.0120	MAX STEPS 100 REACHED, DISTANCE 0.0442.
9746	-46.2	100	0.0428	0.0470	-0.0041	MAX STEPS 100 REACHED, DISTANCE 0.0470.
9747	-52.0	100	0.0726	0.0764	-0.0039	MAX STEPS 100 REACHED, DISTANCE 0.0764.
9748	-47.6	100	0.0561	0.0644	-0.0083	MAX STEPS 100 REACHED, DISTANCE 0.0644.
9749	-48.8	100	0.0576	0.0582	-0.0006	MAX STEPS 100 REACHED, DISTANCE 0.0582.
9750	-56.2	100	0.1138	0.0977	0.0162	MAX STEPS 100 REACHED, DISTANCE 0.0977.
9751	-44.4	100	0.0272	0.0361	-0.0089	MAX STEPS 100 REACHED, DISTANCE 0.0361.
9752	-52.2	100	0.0907	0.0598	0.0309	MAX STEPS 100 REACHED, DISTANCE 0.0598.
9753	-54.5	100	0.1058	0.0783	0.0275	MAX STEPS 100 REACHED, DISTANCE 0.0783.
9754	-45.4	100	0.0131	0.0466	-0.0334	MAX STEPS 100 REACHED, DISTANCE 0.0466.
9755	-48.6	100	0.0852	0.0504	0.0348	MAX STEPS 100 REACHED, DISTANCE 0.0504.
9756	-36.6	100	0.0152	0.0210	-0.0058	MAX STEPS 100 REACHED, DISTANCE 0.0210.
9757	-42.8	100	0.0144	0.0426	-0.0282	MAX STEPS 100 REACHED, DISTANCE 0.0426.
9758	-52.2	100	0.0779	0.0854	-0.0075	MAX STEPS 100 REACHED, DISTANCE 0.0854.
9759	-55.9	100	0.0990	0.1026	-0.0036	MAX STEPS 100 REACHED, DISTANCE 0.1026.
9760	-44.6	100	0.0456	0.0435	0.0021	MAX STEPS 100 REACHED, DISTANCE 0.0435.
9761	-54.4	100	0.0993	0.0851	0.0143	MAX STEPS 100 REACHED, DISTANCE 0.0851.
9762	-38.5	100	0.0238	0.0372	-0.0135	MAX STEPS 100 REACHED, DISTANCE 0.0372.
9763	-52.4	100	0.0694	0.0796	-0.0102	MAX STEPS 100 REACHED, DISTANCE 0.0796.
9764	-55.7	100	0.1038	0.0927	0.0111	MAX STEPS 100 REACHED, DISTANCE 0.0927.
9765	-52.3	100	0.0841	0.0746	0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0746.
9766	-51.7	100	0.0629	0.0704	-0.0075	MAX STEPS 100 REACHED, DISTANCE 0.0704.
9767	-49.0	100	0.0470	0.0620	-0.0150	MAX STEPS 100 REACHED, DISTANCE 0.0620.
9768	84.0	46	0.0167	0.0039	0.0128	GOAL!!! DISPLACEMENT 0.0039m @step 46
9769	-48.3	100	0.0399	0.0723	-0.0324	MAX STEPS 100 REACHED, DISTANCE 0.0723.
9770	-45.7	100	0.0728	0.0376	0.0352	MAX STEPS 100 REACHED, DISTANCE 0.0376.
9771	-38.1	100	0.0105	0.0181	-0.0077	MAX STEPS 100 REACHED, DISTANCE 0.0181.
9772	-54.8	100	0.0851	0.0988	-0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0988.
9773	-53.4	100	0.0848	0.0808	0.0039	MAX STEPS 100 REACHED, DISTANCE 0.0808.
9774	-48.4	100	0.0550	0.0580	-0.0030	MAX STEPS 100 REACHED, DISTANCE 0.0580.
9775	-38.2	100	0.0465	0.0208	0.0257	MAX STEPS 100 REACHED, DISTANCE 0.0208.
9776	77.4	66	0.0284	0.0039	0.0245	GOAL!!! DISPLACEMENT 0.0039m @step 66
9777	-43.7	100	0.0569	0.0311	0.0259	MAX STEPS 100 REACHED, DISTANCE 0.0311.
9778	-45.4	100	0.0448	0.0451	-0.0003	MAX STEPS 100 REACHED, DISTANCE 0.0451.
9779	-40.8	100	0.0439	0.0216	0.0223	MAX STEPS 100 REACHED, DISTANCE 0.0216.
9780	-49.8	100	0.0859	0.0650	0.0209	MAX STEPS 100 REACHED, DISTANCE 0.0650.
9781	-46.6	100	0.0590	0.0462	0.0128	MAX STEPS 100 REACHED, DISTANCE 0.0462.
9782	-47.2	100	0.0638	0.0503	0.0135	MAX STEPS 100 REACHED, DISTANCE 0.0503.
9783	-41.9	100	0.0298	0.0390	-0.0092	MAX STEPS 100 REACHED, DISTANCE 0.0390.
9784	-56.5	100	0.1020	0.0897	0.0123	MAX STEPS 100 REACHED, DISTANCE 0.0897.
9785	-45.3	100	0.0583	0.0474	0.0109	MAX STEPS 100 REACHED, DISTANCE 0.0474.
9786	-42.2	100	0.0271	0.0397	-0.0125	MAX STEPS 100 REACHED, DISTANCE 0.0397.
9787	-50.8	100	0.0811	0.0715	0.0096	MAX STEPS 100 REACHED, DISTANCE 0.0715.
9788	-54.2	100	0.0929	0.0848	0.0080	MAX STEPS 100 REACHED, DISTANCE 0.0848.
9789	-56.6	100	0.1137	0.0880	0.0257	MAX STEPS 100 REACHED, DISTANCE 0.0880.
9790	-52.2	100	0.0800	0.0826	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0826.
9791	-51.9	100	0.0803	0.0652	0.0151	MAX STEPS 100 REACHED, DISTANCE 0.0652.
9792	-42.6	100	0.0245	0.0412	-0.0168	MAX STEPS 100 REACHED, DISTANCE 0.0412.
9793	-55.6	100	0.0980	0.0957	0.0024	MAX STEPS 100 REACHED, DISTANCE 0.0957.
9794	-47.1	100	0.0674	0.0434	0.0239	MAX STEPS 100 REACHED, DISTANCE 0.0434.
9795	-51.2	100	0.0688	0.0686	0.0001	MAX STEPS 100 REACHED, DISTANCE 0.0686.
9796	-51.1	100	0.0893	0.0621	0.0273	MAX STEPS 100 REACHED, DISTANCE 0.0621.
9797	-49.5	100	0.0591	0.0664	-0.0074	MAX STEPS 100 REACHED, DISTANCE 0.0664.
9798	-51.3	100	0.0714	0.0844	-0.0129	MAX STEPS 100 REACHED, DISTANCE 0.0844.
9799	-50.4	100	0.0609	0.0564	0.0045	MAX STEPS 100 REACHED, DISTANCE 0.0564.
9800	-50.6	100	0.0805	0.0585	0.0219	MAX STEPS 100 REACHED, DISTANCE 0.0585.
9801	-47.2	100	0.0480	0.0582	-0.0102	MAX STEPS 100 REACHED, DISTANCE 0.0582.
9802	-53.4	100	0.0910	0.0808	0.0102	MAX STEPS 100 REACHED, DISTANCE 0.0808.
9803	-53.4	100	0.1067	0.0726	0.0341	MAX STEPS 100 REACHED, DISTANCE 0.0726.
9804	-40.4	100	0.0318	0.0281	0.0037	MAX STEPS 100 REACHED, DISTANCE 0.0281.
9805	-48.2	100	0.0782	0.0504	0.0278	MAX STEPS 100 REACHED, DISTANCE 0.0504.
9806	-46.7	100	0.0412	0.0458	-0.0046	MAX STEPS 100 REACHED, DISTANCE 0.0458.
9807	-55.2	100	0.1056	0.0945	0.0111	MAX STEPS 100 REACHED, DISTANCE 0.0945.
9808	-48.1	100	0.0755	0.0559	0.0196	MAX STEPS 100 REACHED, DISTANCE 0.0559.
9809	-52.3	100	0.0872	0.0750	0.0121	MAX STEPS 100 REACHED, DISTANCE 0.0750.
9810	-50.1	100	0.0764	0.0645	0.0119	MAX STEPS 100 REACHED, DISTANCE 0.0645.
9811	-55.9	100	0.1159	0.0834	0.0325	MAX STEPS 100 REACHED, DISTANCE 0.0834.
9812	-47.9	100	0.0663	0.0554	0.0109	MAX STEPS 100 REACHED, DISTANCE 0.0554.
9813	-55.5	100	0.0941	0.0986	-0.0046	MAX STEPS 100 REACHED, DISTANCE 0.0986.
9814	-47.7	100	0.0465	0.0545	-0.0079	MAX STEPS 100 REACHED, DISTANCE 0.0545.
9815	-52.2	100	0.0742	0.0691	0.0051	MAX STEPS 100 REACHED, DISTANCE 0.0691.
9816	-49.5	100	0.0754	0.0549	0.0205	MAX STEPS 100 REACHED, DISTANCE 0.0549.
9817	-49.3	100	0.0593	0.0582	0.0011	MAX STEPS 100 REACHED, DISTANCE 0.0582.
9818	-49.8	100	0.0705	0.0669	0.0036	MAX STEPS 100 REACHED, DISTANCE 0.0669.
9819	-53.0	100	0.0814	0.0670	0.0144	MAX STEPS 100 REACHED, DISTANCE 0.0670.
9820	-43.8	100	0.0462	0.0381	0.0082	MAX STEPS 100 REACHED, DISTANCE 0.0381.
9821	-40.4	100	0.0424	0.0425	-0.0001	MAX STEPS 100 REACHED, DISTANCE 0.0425.
9822	-44.3	100	0.0589	0.0356	0.0233	MAX STEPS 100 REACHED, DISTANCE 0.0356.
9823	-46.1	100	0.0671	0.0413	0.0258	MAX STEPS 100 REACHED, DISTANCE 0.0413.
9824	-55.7	100	0.1105	0.0977	0.0128	MAX STEPS 100 REACHED, DISTANCE 0.0977.
9825	-48.1	100	0.0734	0.0444	0.0290	MAX STEPS 100 REACHED, DISTANCE 0.0444.
9826	-54.8	100	0.1032	0.0839	0.0192	MAX STEPS 100 REACHED, DISTANCE 0.0839.
9827	-47.7	100	0.0899	0.0659	0.0240	MAX STEPS 100 REACHED, DISTANCE 0.0659.
9828	-38.4	100	0.0551	0.0129	0.0422	MAX STEPS 100 REACHED, DISTANCE 0.0129.
9829	-51.1	100	0.0773	0.0752	0.0021	MAX STEPS 100 REACHED, DISTANCE 0.0752.
9830	-38.7	100	0.0292	0.0232	0.0060	MAX STEPS 100 REACHED, DISTANCE 0.0232.
9831	-50.8	100	0.0716	0.0639	0.0077	MAX STEPS 100 REACHED, DISTANCE 0.0639.
9832	-46.4	100	0.0433	0.0509	-0.0076	MAX STEPS 100 REACHED, DISTANCE 0.0509.
9833	-48.4	100	0.0671	0.0517	0.0154	MAX STEPS 100 REACHED, DISTANCE 0.0517.
9834	-52.8	100	0.1021	0.0624	0.0397	MAX STEPS 100 REACHED, DISTANCE 0.0624.
9835	-34.8	100	0.0137	0.0202	-0.0065	MAX STEPS 100 REACHED, DISTANCE 0.0202.
9836	-49.8	100	0.0786	0.0622	0.0164	MAX STEPS 100 REACHED, DISTANCE 0.0622.
9837	-47.9	100	0.0729	0.0483	0.0245	MAX STEPS 100 REACHED, DISTANCE 0.0483.
9838	-46.9	100	0.0619	0.0489	0.0130	MAX STEPS 100 REACHED, DISTANCE 0.0489.
9839	-44.0	100	0.0555	0.0280	0.0275	MAX STEPS 100 REACHED, DISTANCE 0.0280.
9840	-53.4	100	0.0965	0.0803	0.0162	MAX STEPS 100 REACHED, DISTANCE 0.0803.
9841	-52.8	100	0.0763	0.0795	-0.0032	MAX STEPS 100 REACHED, DISTANCE 0.0795.
9842	-41.0	100	0.0388	0.0395	-0.0007	MAX STEPS 100 REACHED, DISTANCE 0.0395.
9843	-46.9	100	0.0689	0.0496	0.0193	MAX STEPS 100 REACHED, DISTANCE 0.0496.
9844	-45.9	100	0.0649	0.0502	0.0147	MAX STEPS 100 REACHED, DISTANCE 0.0502.
9845	-40.9	100	0.0421	0.0267	0.0154	MAX STEPS 100 REACHED, DISTANCE 0.0267.
9846	78.4	63	0.0331	0.0041	0.0290	GOAL!!! DISPLACEMENT 0.0041m @step 63
9847	-48.0	100	0.0717	0.0474	0.0243	MAX STEPS 100 REACHED, DISTANCE 0.0474.
9848	-55.3	100	0.1051	0.0858	0.0193	MAX STEPS 100 REACHED, DISTANCE 0.0858.
9849	-50.8	100	0.0853	0.0512	0.0342	MAX STEPS 100 REACHED, DISTANCE 0.0512.
9850	-52.5	100	0.1021	0.0681	0.0340	MAX STEPS 100 REACHED, DISTANCE 0.0681.
9851	-37.2	100	0.0283	0.0199	0.0084	MAX STEPS 100 REACHED, DISTANCE 0.0199.
9852	-46.6	100	0.0619	0.0589	0.0030	MAX STEPS 100 REACHED, DISTANCE 0.0589.
9853	-40.2	100	0.0227	0.0320	-0.0092	MAX STEPS 100 REACHED, DISTANCE 0.0320.
9854	-44.2	100	0.0515	0.0430	0.0084	MAX STEPS 100 REACHED, DISTANCE 0.0430.
9855	-51.6	100	0.0906	0.0647	0.0258	MAX STEPS 100 REACHED, DISTANCE 0.0647.
9856	-55.8	100	0.1113	0.0895	0.0219	MAX STEPS 100 REACHED, DISTANCE 0.0895.
9857	-48.5	100	0.0519	0.0375	0.0144	MAX STEPS 100 REACHED, DISTANCE 0.0375.
9858	-46.0	100	0.0417	0.0398	0.0019	MAX STEPS 100 REACHED, DISTANCE 0.0398.
9859	-55.1	100	0.1025	0.1076	-0.0051	MAX STEPS 100 REACHED, DISTANCE 0.1076.
9860	-46.7	100	0.0609	0.0591	0.0018	MAX STEPS 100 REACHED, DISTANCE 0.0591.
9861	-50.3	100	0.0659	0.0662	-0.0004	MAX STEPS 100 REACHED, DISTANCE 0.0662.
9862	-48.3	100	0.0732	0.0588	0.0144	MAX STEPS 100 REACHED, DISTANCE 0.0588.
9863	-53.0	100	0.0969	0.0789	0.0180	MAX STEPS 100 REACHED, DISTANCE 0.0789.
9864	-48.7	100	0.0745	0.0579	0.0166	MAX STEPS 100 REACHED, DISTANCE 0.0579.
9865	-57.1	100	0.1019	0.1190	-0.0171	MAX STEPS 100 REACHED, DISTANCE 0.1190.
9866	-55.2	100	0.0932	0.0949	-0.0017	MAX STEPS 100 REACHED, DISTANCE 0.0949.
9867	-45.3	100	0.0685	0.0329	0.0357	MAX STEPS 100 REACHED, DISTANCE 0.0329.
9868	-55.3	100	0.0896	0.0977	-0.0081	MAX STEPS 100 REACHED, DISTANCE 0.0977.
9869	-40.3	100	0.0282	0.0143	0.0139	MAX STEPS 100 REACHED, DISTANCE 0.0143.
9870	-43.8	100	0.0348	0.0373	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0373.
9871	-55.0	100	0.1099	0.0861	0.0239	MAX STEPS 100 REACHED, DISTANCE 0.0861.
9872	-46.9	100	0.0416	0.0505	-0.0089	MAX STEPS 100 REACHED, DISTANCE 0.0505.
9873	-53.3	100	0.1086	0.0764	0.0322	MAX STEPS 100 REACHED, DISTANCE 0.0764.
9874	-41.3	100	0.0381	0.0322	0.0059	MAX STEPS 100 REACHED, DISTANCE 0.0322.
9875	-47.7	100	0.0736	0.0565	0.0170	MAX STEPS 100 REACHED, DISTANCE 0.0565.
9876	-51.5	100	0.0841	0.0684	0.0157	MAX STEPS 100 REACHED, DISTANCE 0.0684.
9877	-51.9	100	0.0778	0.0834	-0.0056	MAX STEPS 100 REACHED, DISTANCE 0.0834.
9878	-52.8	100	0.0958	0.0692	0.0266	MAX STEPS 100 REACHED, DISTANCE 0.0692.
9879	-53.2	100	0.1002	0.0771	0.0231	MAX STEPS 100 REACHED, DISTANCE 0.0771.
9880	-44.3	100	0.0498	0.0492	0.0007	MAX STEPS 100 REACHED, DISTANCE 0.0492.
9881	-52.1	100	0.0934	0.0745	0.0189	MAX STEPS 100 REACHED, DISTANCE 0.0745.
9882	-51.3	100	0.0947	0.0587	0.0361	MAX STEPS 100 REACHED, DISTANCE 0.0587.
9883	-46.0	100	0.0548	0.0437	0.0112	MAX STEPS 100 REACHED, DISTANCE 0.0437.
9884	-48.1	100	0.0507	0.0543	-0.0036	MAX STEPS 100 REACHED, DISTANCE 0.0543.
9885	-46.2	100	0.0658	0.0433	0.0226	MAX STEPS 100 REACHED, DISTANCE 0.0433.
9886	-53.2	100	0.0865	0.0817	0.0049	MAX STEPS 100 REACHED, DISTANCE 0.0817.
9887	-50.1	100	0.0811	0.0607	0.0204	MAX STEPS 100 REACHED, DISTANCE 0.0607.
9888	-41.8	100	0.0249	0.0357	-0.0108	MAX STEPS 100 REACHED, DISTANCE 0.0357.
9889	-46.2	100	0.0652	0.0557	0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0557.
9890	-53.0	100	0.0987	0.0765	0.0222	MAX STEPS 100 REACHED, DISTANCE 0.0765.
9891	-51.1	100	0.0709	0.0697	0.0012	MAX STEPS 100 REACHED, DISTANCE 0.0697.
9892	-47.4	100	0.0665	0.0431	0.0235	MAX STEPS 100 REACHED, DISTANCE 0.0431.
9893	-51.4	100	0.0816	0.0719	0.0097	MAX STEPS 100 REACHED, DISTANCE 0.0719.
9894	-46.5	100	0.0609	0.0527	0.0082	MAX STEPS 100 REACHED, DISTANCE 0.0527.
9895	-47.9	100	0.0507	0.0597	-0.0090	MAX STEPS 100 REACHED, DISTANCE 0.0597.
9896	-54.8	100	0.0954	0.0856	0.0098	MAX STEPS 100 REACHED, DISTANCE 0.0856.
9897	-46.1	100	0.0601	0.0396	0.0205	MAX STEPS 100 REACHED, DISTANCE 0.0396.
9898	-44.1	100	0.0361	0.0343	0.0018	MAX STEPS 100 REACHED, DISTANCE 0.0343.
9899	-37.1	100	0.0147	0.0232	-0.0086	MAX STEPS 100 REACHED, DISTANCE 0.0232.
9900	-48.0	100	0.0625	0.0492	0.0133	MAX STEPS 100 REACHED, DISTANCE 0.0492.
9901	-50.9	100	0.0876	0.0655	0.0221	MAX STEPS 100 REACHED, DISTANCE 0.0655.
9902	-44.9	100	0.0598	0.0350	0.0248	MAX STEPS 100 REACHED, DISTANCE 0.0350.
9903	-48.9	100	0.0779	0.0644	0.0136	MAX STEPS 100 REACHED, DISTANCE 0.0644.
9904	-55.6	100	0.1078	0.0955	0.0123	MAX STEPS 100 REACHED, DISTANCE 0.0955.
9905	-48.3	100	0.0631	0.0567	0.0064	MAX STEPS 100 REACHED, DISTANCE 0.0567.
9906	-52.4	100	0.0906	0.0804	0.0102	MAX STEPS 100 REACHED, DISTANCE 0.0804.
9907	-50.5	100	0.0906	0.0635	0.0271	MAX STEPS 100 REACHED, DISTANCE 0.0635.
9908	-48.1	100	0.0640	0.0546	0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0546.
9909	-44.4	100	0.0334	0.0397	-0.0063	MAX STEPS 100 REACHED, DISTANCE 0.0397.
9910	-45.7	100	0.0312	0.0439	-0.0127	MAX STEPS 100 REACHED, DISTANCE 0.0439.
9911	-54.2	100	0.0975	0.1031	-0.0056	MAX STEPS 100 REACHED, DISTANCE 0.1031.
9912	-49.6	100	0.0931	0.0420	0.0510	MAX STEPS 100 REACHED, DISTANCE 0.0420.
9913	-50.3	100	0.0642	0.0668	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0668.
9914	-51.1	100	0.0870	0.0574	0.0296	MAX STEPS 100 REACHED, DISTANCE 0.0574.
9915	-41.6	100	0.0362	0.0338	0.0024	MAX STEPS 100 REACHED, DISTANCE 0.0338.
9916	79.1	55	0.0378	0.0031	0.0347	GOAL!!! DISPLACEMENT 0.0031m @step 55
9917	-46.2	100	0.0599	0.0410	0.0190	MAX STEPS 100 REACHED, DISTANCE 0.0410.
9918	-51.6	100	0.1001	0.0703	0.0297	MAX STEPS 100 REACHED, DISTANCE 0.0703.
9919	-54.4	100	0.1060	0.0847	0.0214	MAX STEPS 100 REACHED, DISTANCE 0.0847.
9920	-44.8	100	0.0577	0.0497	0.0080	MAX STEPS 100 REACHED, DISTANCE 0.0497.
9921	-41.4	100	0.0376	0.0327	0.0049	MAX STEPS 100 REACHED, DISTANCE 0.0327.
9922	-51.2	100	0.0723	0.0760	-0.0037	MAX STEPS 100 REACHED, DISTANCE 0.0760.
9923	-44.9	100	0.0503	0.0341	0.0161	MAX STEPS 100 REACHED, DISTANCE 0.0341.
9924	-42.0	100	0.0415	0.0440	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0440.
9925	-52.2	100	0.0681	0.0879	-0.0198	MAX STEPS 100 REACHED, DISTANCE 0.0879.
9926	-137.8	77	0.0745	0.0789	-0.0044	ACTUATOR EXCEEDED: l1 = 0.1260 @step 77
9927	-45.4	100	0.0324	0.0529	-0.0205	MAX STEPS 100 REACHED, DISTANCE 0.0529.
9928	-50.5	100	0.0682	0.0726	-0.0044	MAX STEPS 100 REACHED, DISTANCE 0.0726.
9929	-57.2	100	0.1055	0.1113	-0.0059	MAX STEPS 100 REACHED, DISTANCE 0.1113.
9930	-56.0	100	0.0836	0.1025	-0.0189	MAX STEPS 100 REACHED, DISTANCE 0.1025.
9931	-47.2	100	0.0481	0.0507	-0.0027	MAX STEPS 100 REACHED, DISTANCE 0.0507.
9932	97.7	8	0.0220	0.0043	0.0177	GOAL!!! DISPLACEMENT 0.0043m @step 8
9933	-42.0	100	0.0378	0.0337	0.0041	MAX STEPS 100 REACHED, DISTANCE 0.0337.
9934	-54.3	100	0.1029	0.0923	0.0106	MAX STEPS 100 REACHED, DISTANCE 0.0923.
9935	-58.2	100	0.1135	0.1164	-0.0029	MAX STEPS 100 REACHED, DISTANCE 0.1164.
9936	-58.8	100	0.1036	0.1195	-0.0158	MAX STEPS 100 REACHED, DISTANCE 0.1195.
9937	-57.1	100	0.0970	0.1137	-0.0167	MAX STEPS 100 REACHED, DISTANCE 0.1137.
9938	-53.1	100	0.0795	0.0910	-0.0115	MAX STEPS 100 REACHED, DISTANCE 0.0910.
9939	-56.5	100	0.0918	0.1091	-0.0174	MAX STEPS 100 REACHED, DISTANCE 0.1091.
9940	-49.8	100	0.0906	0.0587	0.0318	MAX STEPS 100 REACHED, DISTANCE 0.0587.
9941	-41.9	100	0.0561	0.0317	0.0244	MAX STEPS 100 REACHED, DISTANCE 0.0317.
9942	-39.9	100	0.0573	0.0344	0.0229	MAX STEPS 100 REACHED, DISTANCE 0.0344.
9943	-49.8	100	0.0439	0.0570	-0.0131	MAX STEPS 100 REACHED, DISTANCE 0.0570.
